"contract_id","segment_id","plan_id","contract_year","language_id","plan_cvrg_typ_id","mnthly_prm","ann_ddctbl","icl_lmt","thrshld","copay_amt_inn_prefrd","copay_amt_inn_prefrd_lvl","coins_amt_inn_prefrd","coins_amt_inn_prefrd_lvl","copay_amt_inn_general","copay_amt_inn_general_lvl","coins_amt_inn_general","coins_amt_inn_general_lvl","copay_amt_mail_ordr_prefrd","copay_amt_mail_ordr_prefrd_lvl","coins_amt_mail_ordr_prefrd","coins_amt_mail_ordr_prefrd_lvl","copay_amt_mail_ordr_general","copay_amt_mail_ordr_general_lvl","coins_amt_mail_ordr_general","coins_amt_mail_ordr_general_lvl","is_mdcr_dfnd_std_yn","post_thrshld_mdcr_std_cost"
"90091","0","999","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"E0654","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"E3014","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"E3014","0","802","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"E4744","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0001","0","001","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0022","0","001","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0028","0","004","2019","1","4",".00","225.00","3820.00","5100.00","$5 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$5 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","007","2019","1","3",".00","230.00","3820.00","5100.00","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","011","2019","1","4",".00","150.00","3820.00","5100.00","$4 - $47","1","30% - 50%","1","Information Not Available","1","Information Not Available","1","$4 - $47","1","30% - 50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","012","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0028","0","013","2019","1","4",".00","195.00","3820.00","5100.00","$6 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$6 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","014","2019","1","4",".00",".00","3820.00","5100.00","$6 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","$6 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","015","2019","1","3",".00","245.00","3820.00","5100.00","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","016","2019","1","4","17.00","195.00","3820.00","5100.00","$6 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$6 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","017","2019","1","4","15.00",".00","3820.00","5100.00","$6 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","$6 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","018","2019","1","3","27.00","415.00","3820.00","5100.00","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","019","2019","1","4",".00",".00","3820.00","5100.00","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","020","2019","1","4","20.00","205.00","3820.00","5100.00","$5 - $100","1","29%","1","Information Not Available","1","Information Not Available","1","$5 - $100","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","021","2019","1","4",".00",".00","3820.00","5100.00","$2 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","$2 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","022","2019","1","4","13.00","225.00","3820.00","5100.00","$4 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$4 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","023","2019","1","4","13.00","220.00","3820.00","5100.00","$2 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$2 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","024","2019","1","4",".00","200.00","3820.00","5100.00","$4 - $100","1","29%","1","Information Not Available","1","Information Not Available","1","$4 - $100","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","1","025","2019","1","4",".00","95.00","3820.00","5100.00","$2 - $95","1","31%","1","Information Not Available","1","Information Not Available","1","$2 - $95","1","31%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","2","025","2019","1","4",".00","95.00","3820.00","5100.00","$2 - $95","1","31%","1","Information Not Available","1","Information Not Available","1","$2 - $95","1","31%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","1","026","2019","1","4","18.00","95.00","3820.00","5100.00","$5 - $100","1","31%","1","Information Not Available","1","Information Not Available","1","$5 - $100","1","31%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","2","026","2019","1","4","18.00","95.00","3820.00","5100.00","$5 - $100","1","31%","1","Information Not Available","1","Information Not Available","1","$5 - $100","1","31%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","027","2019","1","4",".00",".00","3820.00","5100.00","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","028","2019","1","4",".00","225.00","3820.00","5100.00","$5 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","$5 - $100","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","029","2019","1","4",".00","200.00","3820.00","5100.00","$0 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$0 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","030","2019","1","4",".00","195.00","3820.00","5100.00","$0 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$0 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","031","2019","1","3",".00","310.00","3820.00","5100.00","$0 - $100","1","27%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","27%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","032","2019","1","3",".00","350.00","3820.00","5100.00","$0 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","033","2019","1","3",".00","365.00","3820.00","5100.00","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","034","2019","1","3",".00","375.00","3820.00","5100.00","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","035","2019","1","4",".00",".00","3820.00","5100.00","$1 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","$1 - $99","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","036","2019","1","3",".00","380.00","3820.00","5100.00","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","037","2019","1","4",".00","250.00","3820.00","5100.00","$6 - $99","1","28%","1","Information Not Available","1","Information Not Available","1","$6 - $99","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","038","2019","1","4",".00","360.00","3820.00","5100.00","$3 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","$3 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","039","2019","1","4",".00","200.00","3820.00","5100.00","$2 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$2 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","040","2019","1","4",".00","195.00","3820.00","5100.00","$3 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$3 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","041","2019","1","4","25.00","200.00","3820.00","5100.00","$3 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$3 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","042","2019","1","4",".00",".00","3820.00","5100.00","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","1","043","2019","1","4",".00","200.00","3820.00","5100.00","$2 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$2 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","2","043","2019","1","4","18.00","200.00","3820.00","5100.00","$2 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","$2 - $99","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0028","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0028","0","802","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0029","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0029","0","802","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0029","0","803","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0062","0","001","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","$0 - $95","1","33%","1","N","1"
"H0062","0","002","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","33%","1","N","1"
"H0062","0","003","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","$0 - $95","1","33%","1","N","1"
"H0062","0","004","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","$0 - $95","1","33%","1","N","1"
"H0062","0","005","2019","1","4",".00","325.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","$0 - $100","1","26%","1","N","1"
"H0062","0","009","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $85","1","33%","1","Information Not Available","1","Information Not Available","1","$0 - $56.67","1","33%","1","N","1"
"H0062","0","010","2019","1","4","25.00","355.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","$0 - $96.67","1","26%","1","N","1"
"H0062","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0062","0","802","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0062","0","803","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0088","0","001","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $47","1","33% - 48%","1","$0 - $47","1","33% - 48%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0104","0","012","2019","1","4",".00","100.00","3820.00","5100.00","$2 - $40","1","25% - 45%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","$2 - $40","1","25% - 45%","1","N","1"
"H0104","0","014","2019","1","4",".00","100.00","3820.00","5100.00","$2 - $40","1","25% - 45%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","$2 - $40","1","25% - 45%","1","N","1"
"H0104","0","015","2019","1","4","53.00",".00","3820.00","5100.00","$2 - $40","1","33% - 45%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","$2 - $40","1","33% - 45%","1","N","1"
"H0104","0","801","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0104","0","802","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0104","0","804","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0104","0","805","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0104","0","806","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0104","0","807","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0105","0","001","2019","1","0","226.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0105","0","002","2019","1","0","682.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0107","0","003","2019","1","4","36.00","415.00","3820.00","5100.00","$0 - $95","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0107","0","004","2019","1","4","44.00","415.00","3820.00","5100.00","$0 - $95","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0107","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0107","0","802","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0107","0","803","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0111","0","001","2019","1","4",".00","75.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $47","1","31% - 45%","1","$0 - $47","1","31% - 45%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0111","0","002","2019","1","4","21.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $45","1","33% - 45%","1","$0 - $45","1","33% - 45%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0112","0","001","2019","1","0","326.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0112","0","002","2019","1","0","868.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0137","0","001","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0148","0","001","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0148","0","002","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0154","0","008","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0154","0","011","2019","1","4","62.00",".00","3820.00","5100.00","$0 - $47","1","33% - 50%","1","Information Not Available","1","Information Not Available","1","$0 - $39.50","1","50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0154","0","012","2019","1","4","31.00","414.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0","1","25%","1","Information Not Available","1","Information Not Available","1","$0","1","25%","1","N","1"
"H0154","0","014","2019","1","4",".00",".00","3820.00","5100.00","$0 - $47","1","33% - 50%","1","Information Not Available","1","Information Not Available","1","$0 - $39.50","1","50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0154","1","015","2019","1","4",".00","100.00","3820.00","5100.00","$0 - $47","1","31% - 45%","1","Information Not Available","1","Information Not Available","1","$0 - $39.50","1","45%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0154","2","015","2019","1","4","28.00","100.00","3820.00","5100.00","$0 - $47","1","31% - 45%","1","Information Not Available","1","Information Not Available","1","$0 - $39.50","1","45%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0154","0","016","2019","1","4","40.00",".00","3820.00","5100.00","$0 - $47","1","33% - 50%","1","Information Not Available","1","Information Not Available","1","$0 - $39.50","1","50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0154","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0154","0","802","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0154","0","803","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0169","0","001","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0169","0","002","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0169","0","003","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0174","0","001","2019","1","3","24.00","415.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $47","1","25% - 50%","1","$0 - $47","1","25% - 50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0174","0","002","2019","1","4",".00","200.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $75","1","29%","1","$0 - $75","1","29%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0174","0","003","2019","1","4",".00","250.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $75","1","28%","1","$0 - $75","1","28%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0174","0","004","2019","1","3",".00","415.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $47","1","25% - 50%","1","$0 - $47","1","25% - 50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0174","0","005","2019","1","4",".00","200.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $30","1","29% - 48%","1","$0 - $30","1","29% - 48%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0174","0","006","2019","1","3",".00","415.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $47","1","25% - 50%","1","$0 - $47","1","25% - 50%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0174","0","007","2019","1","4",".00","200.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $30","1","29% - 48%","1","$0 - $30","1","29% - 48%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0192","0","001","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0216","0","001","2019","1","0","303.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0216","0","002","2019","1","0","1256.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0251","0","002","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0251","0","004","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0251","0","005","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0270","0","001","2019","1","4",".00","150.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$0 - $99","1","30%","1","$0 - $99","1","30%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0271","0","002","2019","1","1","30.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","003","2019","1","1","29.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","004","2019","1","1","27.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","005","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","006","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","007","2019","1","1","28.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","008","2019","1","1","26.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","010","2019","1","1","21.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","011","2019","1","1","21.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","012","2019","1","1","30.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","013","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0271","0","014","2019","1","1",".00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0281","0","001","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0292","0","001","2019","1","4",".00",".00","3820.00","5100.00","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","$2 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0292","0","002","2019","1","4","15.00",".00","3820.00","5100.00","$0 - $97","1","33%","1","Information Not Available","1","Information Not Available","1","$0 - $97","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H0294","0","002","2019","1","4","14.00","300.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$4 - $100","1","27%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0294","0","004","2019","1","4","32.00","325.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$4 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0294","0","010","2019","1","4","15.00","345.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$4 - $100","1","26%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0294","0","011","2019","1","4","36.00","385.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$4 - $100","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0294","0","012","2019","1","4","34.00","100.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","31%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0294","0","014","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0302","0","001","2019","1","4","39.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $90","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0302","0","006","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0302","0","008","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0302","0","009","2019","1","4","19.00","150.00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $95","1","30%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0302","0","801","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0321","0","002","2019","1","1","24.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0321","0","004","2019","1","1","25.00","415.00","3820.00","5100.00","","1","25%","1","","1","25%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Y","1"
"H0332","0","001","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0332","0","002","2019","1","4",".00","50.00","3820.00","5100.00","$3 - $60","1","32%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0332","0","003","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0332","0","004","2019","1","4","34.00","50.00","3820.00","5100.00","$3 - $60","1","32%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H0332","0","801","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0332","0","803","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","804","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0332","0","805","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","806","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0332","0","807","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","808","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0332","0","809","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","810","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","811","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","812","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","813","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0332","0","814","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0336","0","001","2019","1","4",".00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H0351","0","030","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H0351","0","038","2019","1","4",".00",".00","3820.00","5100.00","$0 - $90","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","$0 - $90","1","33%","1","N","1"
