"contract_id","segment_id","plan_id","contract_year","language_id","plan_cvrg_typ_id","mnthly_prm","ann_ddctbl","icl_lmt","thrshld","copay_amt_inn_prefrd","copay_amt_inn_prefrd_lvl","coins_amt_inn_prefrd","coins_amt_inn_prefrd_lvl","copay_amt_inn_general","copay_amt_inn_general_lvl","coins_amt_inn_general","coins_amt_inn_general_lvl","copay_amt_mail_ordr_prefrd","copay_amt_mail_ordr_prefrd_lvl","coins_amt_mail_ordr_prefrd","coins_amt_mail_ordr_prefrd_lvl","copay_amt_mail_ordr_general","copay_amt_mail_ordr_general_lvl","coins_amt_mail_ordr_general","coins_amt_mail_ordr_general_lvl","is_mdcr_dfnd_std_yn","post_thrshld_mdcr_std_cost"
"H3908","0","002","2019","1","0","819.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3909","0","001","2019","1","4","93.00",".00","3820.00","5100.00","$1 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","$1 - $100","1","33%","1","N","1"
"H3909","0","007","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3909","0","009","2019","1","4","86.00",".00","3820.00","5100.00","$1 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","$1 - $100","1","33%","1","N","1"
"H3909","0","801","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3909","0","802","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3916","0","001","2019","1","4","102.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","002","2019","1","4","102.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","005","2019","1","4","107.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","012","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3916","0","015","2019","1","4","85.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","018","2019","1","4","46.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","022","2019","1","4","83.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","024","2019","1","4","85.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","032","2019","1","4","66.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","033","2019","1","4","46.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","1","034","2019","1","4","12.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","3","034","2019","1","4","26.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","4","034","2019","1","4","22.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","5","034","2019","1","4","12.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","1","035","2019","1","4","12.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","2","035","2019","1","4","26.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","036","2019","1","4","16.00",".00","3820.00","5100.00","$0 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3916","0","801","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3916","0","802","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
